time	V(n001)	I(D1)
2.201243961120869e-08	1.000000e+00	4.571471e-03
2.202487922241739e-08	1.000000e+00	4.312971e-03
2.203731883362609e-08	1.000000e+00	4.085309e-03
2.204975844483479e-08	1.000000e+00	3.888487e-03
2.206219805604348e-08	1.000000e+00	3.722502e-03
2.207463766725218e-08	1.000000e+00	3.587357e-03
2.208707727846088e-08	1.000000e+00	3.483050e-03
2.210707727846088e-08	1.000000e+00	3.347088e-03
2.213707727846088e-08	1.000000e+00	3.203522e-03
2.215993442131803e-08	1.000000e+00	3.130749e-03
2.218279156417518e-08	1.000000e+00	3.065891e-03
2.220564870703232e-08	1.000000e+00	3.008947e-03
2.222850584988947e-08	1.000000e+00	2.959918e-03
2.225136299274661e-08	1.000000e+00	2.918803e-03
2.227422013560376e-08	1.000000e+00	2.885603e-03
2.229707727846091e-08	1.000000e+00	2.860318e-03
2.236136299274663e-08	1.000000e+00	2.796918e-03
2.242564870703235e-08	1.000000e+00	2.740486e-03
2.248993442131808e-08	1.000000e+00	2.691023e-03
2.255422013560380e-08	1.000000e+00	2.648528e-03
2.261850584988952e-08	1.000000e+00	2.613002e-03
2.268279156417525e-08	1.000000e+00	2.584444e-03
2.274707727846097e-08	1.000000e+00	2.562855e-03
2.293422013560385e-08	1.000000e+00	2.506203e-03
2.312136299274674e-08	1.000000e+00	2.455835e-03
2.330850584988962e-08	1.000000e+00	2.411750e-03
2.349564870703250e-08	1.000000e+00	2.373948e-03
2.368279156417539e-08	1.000000e+00	2.342430e-03
2.386993442131827e-08	1.000000e+00	2.317196e-03
2.405707727846115e-08	1.000000e+00	2.298245e-03
2.459850584988980e-08	1.000000e+00	2.249140e-03
2.513993442131845e-08	1.000000e+00	2.205785e-03
2.568136299274710e-08	1.000000e+00	2.168179e-03
2.622279156417575e-08	1.000000e+00	2.136322e-03
2.676422013560439e-08	1.000000e+00	2.110214e-03
2.730564870703304e-08	1.000000e+00	2.089856e-03
2.784707727846169e-08	1.000000e+00	2.075247e-03
3.045707727846184e-08	1.000000e+00	2.011985e-03
3.182035195296729e-08	1.000000e+00	1.991168e-03
3.318362662747274e-08	1.000000e+00	1.972862e-03
3.454690130197820e-08	1.000000e+00	1.957066e-03
3.591017597648365e-08	1.000000e+00	1.943782e-03
3.727345065098910e-08	1.000000e+00	1.933008e-03
3.863672532549455e-08	1.000000e+00	1.924744e-03
4.000000000000000e-08	1.000000e+00	1.918992e-03
4.005977330652882e-08	5.815869e-01	-1.653943e-04
4.011954661305763e-08	1.631737e-01	-2.247650e-03
4.017931991958645e-08	-2.552394e-01	-4.327777e-03
4.023909322611526e-08	-6.736526e-01	-6.405773e-03
4.029886653264408e-08	-1.092066e+00	-8.481640e-03
4.035863983917289e-08	-1.510479e+00	-1.055538e-02
4.041841314570171e-08	-1.928892e+00	-1.262698e-02
4.064841314570166e-08	-3.538892e+00	-2.056349e-02
4.069879852460270e-08	-3.892865e+00	-2.232062e-02
4.074918390350373e-08	-4.246042e+00	-2.405042e-02
4.079956928240476e-08	-4.598424e+00	-2.575289e-02
4.084995466130579e-08	-4.950011e+00	-2.742802e-02
4.090034004020683e-08	-5.300803e+00	-2.907582e-02
4.095072541910785e-08	-5.650799e+00	-3.069629e-02
4.100111079800889e-08	-6.000000e+00	-3.228943e-02
4.100809456716190e-08	-6.000000e+00	-3.227520e-02
4.101507833631491e-08	-6.000000e+00	-3.223151e-02
4.102206210546793e-08	-6.000000e+00	-3.215838e-02
4.102904587462093e-08	-6.000000e+00	-3.205579e-02
4.103602964377394e-08	-6.000000e+00	-3.192376e-02
4.104301341292695e-08	-6.000000e+00	-3.176227e-02
4.104999718207997e-08	-6.000000e+00	-3.157133e-02
4.105999718207996e-08	-6.000000e+00	-3.066423e-02
4.106999718207996e-08	-6.000000e+00	-2.914932e-02
4.107999718207996e-08	-6.000000e+00	-2.738018e-02
4.109999718207996e-08	-6.000000e+00	-2.329828e-02
4.111999718207995e-08	-6.000000e+00	-1.901144e-02
4.112999718207995e-08	-6.000000e+00	-1.693998e-02
4.113999718207995e-08	-6.000000e+00	-1.497412e-02
4.114999718207995e-08	-6.000000e+00	-1.314216e-02
4.115999718207994e-08	-6.000000e+00	-1.146150e-02
4.116999718207994e-08	-6.000000e+00	-9.940198e-03
4.117999718207994e-08	-6.000000e+00	-8.578918e-03
4.118999718207994e-08	-6.000000e+00	-7.372771e-03
4.119999718207994e-08	-6.000000e+00	-6.313042e-03
4.120999718207993e-08	-6.000000e+00	-5.388619e-03
4.121999718207993e-08	-6.000000e+00	-4.587143e-03
4.122999718207993e-08	-6.000000e+00	-3.895861e-03
4.123999718207993e-08	-6.000000e+00	-3.302245e-03
4.124999718207993e-08	-6.000000e+00	-2.794397e-03
4.125999718207993e-08	-6.000000e+00	-2.361293e-03
4.126999718207992e-08	-6.000000e+00	-1.992917e-03
4.127999718207992e-08	-6.000000e+00	-1.680301e-03
4.128999718207992e-08	-6.000000e+00	-1.415507e-03
4.129999718207992e-08	-6.000000e+00	-1.191578e-03
4.130999718207992e-08	-6.000000e+00	-1.002462e-03
4.131999718207991e-08	-6.000000e+00	-8.429279e-04
4.132999718207991e-08	-6.000000e+00	-7.084768e-04
4.133999718207991e-08	-6.000000e+00	-5.952556e-04
4.134999718207991e-08	-6.000000e+00	-4.999761e-04
4.135999718207991e-08	-6.000000e+00	-4.198406e-04
4.136999718207990e-08	-6.000000e+00	-3.524740e-04
4.137999718207990e-08	-6.000000e+00	-2.958644e-04
4.138999718207990e-08	-6.000000e+00	-2.483098e-04
4.139999718207990e-08	-6.000000e+00	-2.083732e-04
4.140999718207990e-08	-6.000000e+00	-1.748421e-04
4.141999718207990e-08	-6.000000e+00	-1.466946e-04
4.142999718207989e-08	-6.000000e+00	-1.230704e-04
4.143999718207989e-08	-6.000000e+00	-1.032452e-04
4.144999718207989e-08	-6.000000e+00	-8.661019e-05
4.145999718207989e-08	-6.000000e+00	-7.265328e-05
