time	V(n002)	I(D1)
3.723720329937085e-07	4.402412e-01	-8.804824e-04
3.725006044222800e-07	4.307721e-01	-8.615441e-04
3.726291758508514e-07	4.201352e-01	-8.402704e-04
3.727577472794228e-07	4.083306e-01	-8.166611e-04
3.728863187079943e-07	3.953582e-01	-7.907164e-04
3.729863187079943e-07	3.828227e-01	-7.656453e-04
3.730863187079943e-07	3.681943e-01	-7.363885e-04
3.731863187079943e-07	3.509040e-01	-7.018079e-04
3.732863187079943e-07	3.302970e-01	-6.605940e-04
3.733863187079943e-07	3.058048e-01	-6.116095e-04
3.734863187079943e-07	2.773606e-01	-5.547211e-04
3.737863187079943e-07	1.821854e-01	-3.643707e-04
3.738863187079943e-07	1.535632e-01	-3.071264e-04
3.739863187079944e-07	1.282878e-01	-2.565756e-04
3.740863187079944e-07	1.064738e-01	-2.129475e-04
3.741863187079944e-07	8.793455e-02	-1.758691e-04
3.742863187079944e-07	7.234796e-02	-1.446959e-04
3.743863187079944e-07	5.934704e-02	-1.186941e-04
3.744863187079944e-07	4.856749e-02	-9.713497e-05
3.745863187079944e-07	3.967090e-02	-7.934181e-05
3.746863187079944e-07	3.235490e-02	-6.470979e-05
3.747863187079944e-07	2.635587e-02	-5.271174e-05
3.748863187079944e-07	2.144799e-02	-4.289598e-05
3.749863187079944e-07	1.744012e-02	-3.488025e-05
3.750863187079944e-07	1.417204e-02	-2.834409e-05
3.751863187079944e-07	1.151035e-02	-2.302071e-05
3.752863187079945e-07	9.344614e-03	-1.868923e-05
3.753863187079945e-07	7.583773e-03	-1.516755e-05
3.754863187079945e-07	6.153028e-03	-1.230606e-05
3.755863187079945e-07	4.991084e-03	-9.982167e-06
3.756863187079945e-07	4.047825e-03	-8.095651e-06
3.757863187079945e-07	3.282348e-03	-6.564695e-06
3.758863187079945e-07	2.661310e-03	-5.322621e-06
3.759863187079945e-07	2.157568e-03	-4.315135e-06
3.760863187079945e-07	1.749038e-03	-3.498075e-06
3.761863187079945e-07	1.417772e-03	-2.835543e-06
3.762863187079945e-07	1.149188e-03	-2.298376e-06
3.763863187079945e-07	9.314460e-04	-1.862892e-06
3.764863187079945e-07	7.549351e-04	-1.509870e-06
3.765863187079946e-07	6.118565e-04	-1.223713e-06
3.766863187079946e-07	4.958839e-04	-9.917677e-07
3.767863187079946e-07	4.018857e-04	-8.037713e-07
3.768863187079946e-07	3.257007e-04	-6.514014e-07
3.769863187079946e-07	2.639549e-04	-5.279098e-07
3.770863187079946e-07	2.139127e-04	-4.278255e-07
3.771863187079946e-07	1.733565e-04	-3.467130e-07
3.772863187079946e-07	1.404886e-04	-2.809771e-07
3.773863187079946e-07	1.138517e-04	-2.277034e-07
3.774863187079946e-07	9.226485e-05	-1.845297e-07
3.775863187079946e-07	7.477073e-05	-1.495415e-07
3.776863187079946e-07	6.059346e-05	-1.211869e-07
3.777863187079946e-07	4.910423e-05	-9.820847e-08
3.778863187079946e-07	3.979343e-05	-7.958685e-08
3.779863187079947e-07	3.224803e-05	-6.449605e-08
3.780863187079947e-07	2.613331e-05	-5.226662e-08
3.782863187079947e-07	1.716231e-05	-3.432462e-08
3.784863187079947e-07	1.127083e-05	-2.254167e-08
3.787863187079947e-07	5.998260e-06	-1.199652e-08
3.790148901365662e-07	4.168196e-06	-8.336392e-09
3.792434615651376e-07	2.672404e-06	-5.344808e-09
3.794720329937090e-07	1.510883e-06	-3.021767e-09
3.797006044222805e-07	6.836344e-07	-1.367269e-09
3.799291758508520e-07	1.906569e-07	-3.813138e-10
3.801577472794234e-07	3.195100e-08	-6.390203e-11
3.803863187079948e-07	2.075166e-07	-4.150333e-10
4.000000000000000e-07	-4.440892e-16	0.000000e+00
4.000013681292004e-07	7.276285e-06	3.405770e-06
4.000041043876012e-07	3.156000e-05	1.019785e-05
4.000095769044026e-07	1.381788e-04	2.366590e-05
4.000205219380056e-07	5.802677e-04	5.014431e-05
4.000424120052116e-07	2.353125e-03	1.013238e-04
4.000861921396235e-07	9.242303e-03	1.969957e-04
4.001675971330631e-07	3.248250e-02	3.540278e-04
4.002675971330631e-07	7.613883e-02	5.167152e-04
4.003675971330631e-07	1.318225e-01	6.553479e-04
4.004675971330631e-07	1.938581e-01	7.812767e-04
4.005675971330631e-07	2.547453e-01	9.095022e-04
4.006675971330631e-07	3.066446e-01	1.055704e-03
4.007675971330631e-07	3.467273e-01	1.225538e-03
4.008675971330631e-07	3.772424e-01	1.414508e-03
4.009675971330631e-07	4.015203e-01	1.615952e-03
4.010675971330632e-07	4.213619e-01	1.826269e-03
4.011675971330632e-07	4.378586e-01	2.043276e-03
4.013675971330632e-07	4.643793e-01	2.490234e-03
4.016675971330632e-07	4.944850e-01	3.180023e-03
4.019104542759204e-07	5.125674e-01	3.751001e-03
4.021533114187775e-07	5.290429e-01	4.325193e-03
4.023961685616347e-07	5.439116e-01	4.902598e-03
4.026390257044918e-07	5.571734e-01	5.483217e-03
4.028818828473490e-07	5.688283e-01	6.067051e-03
4.031247399902061e-07	5.788763e-01	6.654097e-03
4.033675971330633e-07	5.873175e-01	7.244358e-03
4.037675971330634e-07	6.010972e-01	8.216798e-03
4.045247399902062e-07	6.217598e-01	1.006833e-02
4.052818828473492e-07	6.405486e-01	1.192361e-02
4.060390257044921e-07	6.574636e-01	1.378264e-02
4.067961685616350e-07	6.725049e-01	1.564541e-02
4.075533114187779e-07	6.856724e-01	1.751193e-02
4.083104542759209e-07	6.969661e-01	1.938220e-02
4.090675971330638e-07	7.063860e-01	2.125622e-02
4.106363124426837e-07	7.247933e-01	2.516108e-02
4.122050277523036e-07	7.417455e-01	2.905644e-02
4.137737430619236e-07	7.572426e-01	3.294229e-02
4.153424583715435e-07	7.712846e-01	3.681864e-02
4.169111736811634e-07	7.838716e-01	4.068548e-02
4.184798889907833e-07	7.950035e-01	4.454281e-02
4.200486043004033e-07	8.046804e-01	4.839064e-02
4.231417249557031e-07	8.140983e-01	4.837180e-02
4.262348456110028e-07	8.219719e-01	4.835606e-02
4.293279662663026e-07	8.283012e-01	4.834340e-02
4.324210869216024e-07	8.330862e-01	4.833383e-02
4.355142075769022e-07	8.363269e-01	4.832735e-02
4.386073282322019e-07	8.380234e-01	4.832395e-02
4.417004488875017e-07	8.381755e-01	4.832365e-02
5.000000000000001e-07	8.423232e-01	4.831535e-02
